ID,Position X,Position Y,Position Z,raw int ch1,raw int ch2,raw int ch3,raw int ch4,norm in ch2,norm int ch3,norm int ch4,binary fate 1,binary fate 2,binary fate 3,outside_bool,num_nbrs,num_nbrs_outside,num_nbrs_inside,nbr_ids,nbr_dist_mean,nbr_dist_range
3,2501.199951171875,1787.699951171875,3190.72998046875,1310.050048828125,228.43499755859375,450.6029968261719,1604.0,0.17437119884307856,0.34395861229061314,1.2243807031913179,0,1,0,1.0,11.0,6.0,5.0,[  9  14  15  17  19  21  50  51  62 195 196],20.191972251699873,19.26819970679503
9,2496.820068359375,1792.1800537109375,3207.159912109375,512.2999877929688,193.28700256347656,327.07501220703125,1077.3299560546875,0.3772926159849684,0.63844430997568,2.102927936219392,0,1,0,1.0,9.0,6.0,3.0,[  3  17  19  21  50  51  56  59 196],22.850016134404395,18.98849037923965
14,2528.360107421875,1787.3199462890625,3181.239990234375,1383.8599853515625,304.5140075683594,623.927001953125,1276.6600341796875,0.22004683334419786,0.4508599197588762,0.9225355510625294,0,1,0,1.0,14.0,9.0,5.0,[  3  15  16  17  19  34  60  62  66 187 191 193 194 195],20.67684826052575,18.31943454638167
15,2517.169921875,1792.9000244140625,3184.68994140625,958.8569946289062,209.6959991455078,1137.2900390625,131.86900329589844,0.21869371587226485,1.1860893182540222,0.1375272892981648,1,1,0,0.0,9.0,5.0,4.0,[  3  14  17  50  60  62 187 194 195],15.671633419154688,11.803078917491584
16,2542.0400390625,1783.52001953125,3190.330078125,1011.9199829101562,232.39700317382812,890.1380004882812,194.77699279785156,0.22965946626084327,0.8796525570414717,0.19248260345417542,0,1,0,1.0,9.0,7.0,2.0,[ 14  19  20  34  60  66 191 192 193],17.01755002706568,19.561491387676774
17,2515.02001953125,1777.219970703125,3193.969970703125,927.2969970703125,245.1719970703125,1590.5699462890625,163.62399291992188,0.26439425323807264,1.7152756358688577,0.1764526289170276,1,0,0,1.0,10.0,5.0,5.0,[  3   9  14  15  19  21 191 194 195 196],17.345454126049752,18.047799314219645
19,2518.139892578125,1771.699951171875,3200.2900390625,1013.0599975585938,205.3780059814453,418.0880126953125,1844.4100341796875,0.20273034812981705,0.41269817553044874,1.8206325771667928,0,1,0,1.0,8.0,7.0,1.0,[  3   9  14  16  17  20  21 191],21.140895097279785,21.398181645658838
20,2539.889892578125,1778.3399658203125,3203.8798828125,573.1510009765625,233.35699462890625,383.96600341796875,1128.5899658203125,0.4071474955662666,0.6699211948749088,1.9690970859291288,1,0,0,1.0,7.0,4.0,3.0,[ 16  19  21  34 191 192 194],19.392512480824223,14.935566329783596
21,2515.010009765625,1782.02001953125,3205.85009765625,518.8670043945312,167.86700439453125,594.7100219726562,576.8909912109375,0.3235260731030993,1.1461704385435467,1.1118282456293684,0,0,0,0.0,10.0,7.0,3.0,[  3   9  17  19  20  59 191 194 195 196],19.015525349399987,16.49467034971078
34,2553.090087890625,1794.8800048828125,3193.10009765625,1217.6199951171875,220.16099548339844,360.5090026855469,1738.449951171875,0.18081256579743457,0.2960767761134297,1.4277442536614728,1,0,0,1.0,7.0,6.0,1.0,[ 14  16  20  63  66 190 192],19.89708869750365,17.819390003345916
